date,text,感情,エピソード
2025-03-24 10:02:07+00:00,この前ポテト生焼けだったのでちゃんとフライパンで焼いた https://t.co/zmwOJfUQJ5,喜び,なし
2025-03-24 07:53:01+00:00,ルイボスティーカフェイン無いのにお腹気持ち悪くなるな　なんでだ　鼻水のせいか,不快,なし
2025-03-24 07:18:02+00:00,ぬん https://t.co/OCdEpaLPS9,なし,なし
2025-03-24 06:06:10+00:00,2個あるはずのデカいタッパー無いなどこ行ったと思ってたら、前にバスケットに入るか確認してそのままだった　しかもアップルパイ入ったまんまだった　カビ生えてる　勿体なすぎる,"怒り, 悲しみ","失くし物, 不快"
2025-03-23 14:01:58+00:00,風呂入った　えらい,喜び,風呂に入った
2025-03-23 07:30:28+00:00,ジャボとブローチと袖のフリフリがない手袋買った https://t.co/Tb35qWItLV,喜び,なし
2025-03-23 06:54:43+00:00,学校給食の牛乳そのものがスーパーに売ってた　懐かしすぎる　まさにこれ飲んでた　こんなちっちゃかったっけ https://t.co/fDFnU2gkMG,喜び,なし
2025-03-23 04:50:26+00:00,あれ　なんかデカいタッパー1個無くなった,不安,失くし物
2025-03-22 16:08:24+00:00,薬飲んでゴミ出せたー,喜び,なし
2025-03-22 14:37:36+00:00,嘘です　嘘でございます　2月の方が起きれてました　しかも3月はApple Watchつけ忘れまくってるのでございます https://t.co/UMYQ71AL7f,喜び,忘れ物
2025-03-22 14:35:49+00:00,3月になってから青くなってきた　気分は悪いけど朝は起きれてる傾向にある https://t.co/2iz8RNAEw5,不安,なし
2025-03-22 14:31:40+00:00,Twitterと連携してツイートから躁鬱のグラフ／カレンダーを表示するアプリほしい,欲求,なし
2025-03-22 14:30:38+00:00,今見たら治ってた,喜び,なし
2025-03-22 14:28:54+00:00,肉まん食って落ち着け　肉まん食ったらゴミ出ししよう　薬は今飲んだ,安心,なし
2025-03-22 14:26:35+00:00,ゴミ出しもできてない　もう普通のゴミ箱どころかトイレのゴミ箱まで溢れて大変なことになってますよ,不安,なし
2025-03-22 14:25:59+00:00,鬱がやってきたぞ,鬱,なし
2025-03-22 14:25:51+00:00,今日、絵の仕事するはずがメルカリの作業でいっぱいでできなかったし（スケジュールヤバい）、風呂入ろうとしたら入れなくて何もできずに３時間経ってたし、薬も飲んでない　死ぬしかない,"不安, 無気力","風呂に入らなかった, 躁, 鬱"
2025-03-22 14:19:28+00:00,マジで風呂に入れない　クソ,不快,風呂に入らなかった
2025-03-22 14:19:20+00:00,ポチった,欲求,衝動買い
2025-03-22 14:13:02+00:00,登別カルルスの入浴剤買うか,欲求,なし
2025-03-22 14:12:52+00:00,今から風呂入るって意識するだけでなんもできんくなってしまう,無気力,風呂に入らなかった
2025-03-22 13:59:56+00:00,風呂入ろうとしたら薬も飲まずただベッドでスマホ見てるだけで23時になってしまった　ゴミ出しもしたいんだが　もう風呂入るの諦めるか,不安,風呂に入らなかった
2025-03-22 13:02:07+00:00,もう1週間突破している https://t.co/SrGbRKEFjn,喜び,なし
2025-03-22 13:01:44+00:00,今から風呂入るか　寝るか,なし,風呂に入った
2025-03-22 11:06:25+00:00,うまかったので2食分だけど60%は食った,喜び,なし
2025-03-22 10:59:32+00:00,コチュジャンはちゃんと入れたんだが,不安,なし
2025-03-22 10:59:13+00:00,うまいけど店で食べるビビンバにはなんか1歩届いてない　なんだろ　味がちょっと違う,不快,なし
2025-03-22 10:24:15+00:00,豚キムチにナムル入れてビビンバにしてみた https://t.co/WcHKAMXH50,喜び,なし
2025-03-22 07:18:12+00:00,早速売れた,喜び,なし
2025-03-22 07:14:35+00:00,メルカリ出品しただけで疲れた,無気力,なし
2025-03-22 05:20:48+00:00,ネスカフェ解約失敗したのでまた豆届いた　要らね～～～～,不快,なし
2025-03-21 12:14:52+00:00,マイナンバーカードコピーできて、同人誌も刷れるレーザー方式ってなるとバカ高い業務用のやつになるよなあ,不安,なし
2025-03-21 11:53:49+00:00,やっぱコピー機かおかな～　書類コピーしないといけないこと多い,不安,なし
2025-03-21 11:51:24+00:00,去年はインターネット申告できたのにね　ちゃんと履歴も残ってるのでできたはずなんだよ,喜び,なし
2025-03-21 11:47:32+00:00,まあいいか送ったれ,無気力,なし
2025-03-21 11:47:22+00:00,どうすんねんこれ,不安,なし
2025-03-21 11:47:17+00:00,あぁ！？！？封筒での申告17日までになってんだけど,怒り,なし
2025-03-21 11:25:36+00:00,"届いた封筒見たら収入ない人""は""インターネット申告できますって書いてるわ　おい",怒り,なし
2025-03-21 11:20:41+00:00,e-KOBEに市民税の申告（収入ある方）がないんだが,不安,なし
2025-03-21 11:18:18+00:00,やっと源泉徴収票届いたので市民税申告できるよ,喜び,なし
2025-03-18 12:26:20+00:00,首の傷早く治したいのにかさぶためくりまくってしまう,不安,なし
2025-03-18 00:50:00+00:00,まだ退職手続色々残ってる状態なので会社に電話する時「お疲れ様です」って言うべきなのか「こんにちは」って言うべきなのかわからん,不安,なし
2025-03-18 00:13:00+00:00,グラタン食いてえ,欲求,なし
2025-03-17 22:15:53+00:00,おきた,喜び,なし
2025-03-17 06:50:31+00:00,ちょっと寝てた,無気力,なし
2025-03-17 06:32:48+00:00,なんかめっちゃみぞれ的なのが降っている,不快,なし
2025-03-16 23:40:10+00:00,ピザ食べたいので昼飯と晩飯用にピザ注文するか,欲求,なし
2025-03-16 23:27:25+00:00,"前にセットした時のまま置いてるウィッグ
これ一回洗ってもっと綺麗にやり直そかな
結局この髪型じゃないとダサくなってしまう https://t.co/mg3OwLeRn2",不安,なし
2025-03-16 23:01:11+00:00,お団子試したけど髪の毛が短すぎるのかなんかわからんが三つ編みが短すぎてﾍﾟｪﾝ（戻）になる　そしてこめかみが空いてる髪型したら顔がデカすぎてダメなんだった,不安,なし
2025-03-16 15:50:28+00:00,めっちゃ眠いのに寝れん,不安,不眠
2025-03-15 10:57:49+00:00,全然絵描く気分じゃないのに描いても下手くそな絵しかできんから今日はもう諦めてウィッグ調整します,無気力,なし
2025-03-15 10:06:07+00:00,やっぱウィッグ関連の作業すると台パン止まらんな　物理的に上手くいかないことあると瞬間的な大きい怒りが発生する,怒り,なし
2025-03-15 08:05:03+00:00,加工で縮めるしかない,無気力,なし
2025-03-15 08:04:56+00:00,目と鼻のメイクはわかったけどジャガイモ輪郭をどうにかする方法がわからない,不安,なし
2025-03-15 07:52:45+00:00,やっぱ輪郭前と全然違うよなあ　なんでこんなジャガイモみたいな輪郭になってしまったんや　肉はついてないのに,不安,なし
2025-03-15 07:52:13+00:00,黒髪ウィッグをこういう髪型にしようと思うんだが、ブスすぎるが大丈夫か？　メイクでなんとかなるんかこれ？ https://t.co/EbXNhyWkTS,不安,なし
2025-03-14 15:01:07+00:00,オランザピン増えてデエビゴっていうのが増えたよ,不安,なし
2025-03-13 17:41:53+00:00,寝るの諦めましたわ〜,無気力,不眠
2025-03-13 16:13:42+00:00,めっちゃキムチ鍋ラーメン食いたいけど麺がない,欲求,なし
2025-03-13 08:15:09+00:00,髪伸びてきてメカクレになってるし昨日風呂入ったので髪切りに行くだ,喜び,風呂に入った
2025-03-12 13:19:54+00:00,最近節約のために外食は週1回までにしてるんだけど、週1のご褒美外食をマックなんかにしたくないという気持ちになってマックもうしばらく食べてない,欲求,なし
2025-03-12 13:02:28+00:00,顔パックの汁まだまだあるのに捨てるの勿体無いな　せや絞って顔に塗ったろ　っていやったら顔べっちょべっちょになった　要らんことした,喜び,なし
2025-03-12 11:29:04+00:00,今日こそ風呂に入るという固い意志(お湯張り中),喜び,風呂に入った
2025-03-12 11:10:06+00:00,聴覚過敏になってるのに食洗機回すな,怒り,なし
2025-03-12 11:09:53+00:00,食洗機うるさすぎる,不快,なし
2025-03-12 09:02:21+00:00,食うか,欲求,なし
2025-03-12 09:02:18+00:00,飯空化,無気力,なし
2025-03-12 09:02:15+00:00,おなかすいてきた,欲求,なし
2025-03-11 10:52:55+00:00,家には帰ってこれたけど今から仕事できる気がしない　しんどすぎ,"無気力, 不安",なし
2025-03-11 10:26:29+00:00,アホ　コーヒー飲んだせいで吐き気がプラスれてしまった,不快,体調不良
2025-03-11 10:24:19+00:00,離脱症状とか違法薬物にしかないと思ってた　しんそい　今の俺見たらシャブ中だよ,不安,なし
2025-03-11 10:23:36+00:00,アイスコーヒー氷入れるの忘れて淹れたせいでただの少量ホットコーヒーになってしまった,悲しみ,忘れ物
2025-03-11 10:23:06+00:00,頭に響いて,不快,なし
2025-03-11 10:22:50+00:00,体のだるさと音がたまに響いてキィンってなるのえぐい　めまいもあります,不快,なし
2025-03-11 10:22:20+00:00,パン半分じゃなくて全部食ったとこなのに腹空きすぎて倒れそうな状態みたいになってる　かなりしんどい　帰れるかなこれ,"不快, 不安",なし
2025-03-11 10:21:41+00:00,なんか飲み物買えばよかったのに買い忘れたのでその場で入れてくれるタイプの自販機のコーヒー飲んでる,悔しさ,忘れ物
2025-03-11 10:20:39+00:00,やばい　買い物しに来たんだけど離脱症状えぐくてめっちゃしんどい　普通に倒れそう　風邪で高熱出てる時みたいな感覚　熱はないけど,"不安, 無気力",なし
2025-03-11 08:54:42+00:00,筋トレ始めよかな……,喜び,なし
2025-03-11 07:32:06+00:00,眠たいのに寝れね〜,不眠,なし
2025-03-10 14:51:59+00:00,たかい https://t.co/ifj9rzGtLa,なし,なし
2025-03-10 13:12:41+00:00,コミッションで儲けた金を、北海道旅行の資金に貯めるか、ロリータ服を買うか、焼き肉を食うか……,欲求,"旅行, 衝動買い, 食事"
2025-03-09 16:10:03+00:00,前にもIRIAMやったことあると思ってたけど気の所為だった　多分REALITYやわ,不安,なし
2025-03-09 16:04:29+00:00,入室,不安,なし
2025-03-09 16:04:23+00:00,しかも入出しましたとかまで出んのかよ　ひえ～～～～～恥ずかしい,恥ずかしい,なし
2025-03-09 16:04:10+00:00,見る側も名前出るの恥ずかしすぎ,恥ずかしみ,なし
2025-03-09 16:02:32+00:00,依頼主のキャラ偵察のためにIRIAM始めたら匿名じゃなくて思いっきり名前出て死んだ　バレた,不安,なし
2025-03-09 14:17:57+00:00,うんちでた,不快,なし
2025-03-09 13:29:22+00:00,なんか外から照り焼きチキンの匂いする〜　もう一人暮らししてからずっと食ってないな　別に好きなわけじゃないけど　匂い嗅ぐと食いたくなるな,喜び,なし
2025-03-09 13:25:36+00:00,ねてた,無気力,なし
2025-03-08 23:12:15+00:00,なんか左親指のささくれ痕っぽいところオレンジになってて洗っても落ちないんだが https://t.co/8TWwfIvdms,不快,なし
2025-03-08 21:04:12+00:00,風呂入ってクレメンス,なし,風呂に入った
2025-03-08 21:04:06+00:00,顎にもデカニキビある　えーん,悲しみ,なし
2025-03-08 20:57:20+00:00,顎の下にデカニキビできた　えーん,悲しみ,なし
2025-03-08 19:55:56+00:00,イラストレーターは、イラストレーターという肩書への憧れがあるよね　プログラマーはもう無い　だって既になったし　そしてあんまカッコよくも高収入でもないことに気づいちゃったし,"喜び, 不安",なし
2025-03-08 19:55:20+00:00,プログラマーになりたいわけではないけど　プログラミングしてSNSを作りたいだけなんやけど,欲求,なし
2025-03-08 19:51:44+00:00,きっちりスケジュール引くか月交代にするしかない,不安,なし
2025-03-08 19:51:16+00:00,フリーランスになるとしてもプログラマーにもなりたいしイラストレーターにもなりたい　やっぱ俺体が１つじゃ足りない,欲求,なし
2025-03-08 19:50:46+00:00,プログラミング進めたいのでイラストレーターはしばらく休むが,欲求,なし
2025-03-08 19:50:20+00:00,傷病手当は？（傷病手当は？）,不安,なし
2025-03-08 19:50:04+00:00,次コミッション開けるときは2000円前後にしたいわね～,欲求,なし
2025-03-08 19:49:45+00:00,果たしてこれは価格がバカ安いからなのか、それとも俺の絵に価値があるのか,不安,なし
2025-03-08 19:49:03+00:00,受付3/1～8だけやからさすがに16日～にはプログラミングに戻れるやろ～と思ってたのに25日までコミッションの予定で埋まってしまった　オワタ　３月ほぼ全部コミッションやないか,不安,なし
2025-03-08 14:23:51+00:00,終われない,無気力,なし
2025-03-08 14:23:45+00:00,キャラデザしてるんだけど　ほぼ完成したんだけどなんか足りない気がして一向に追われない,不安,なし
2025-03-08 13:56:17+00:00,仕事一段落したら風呂入ろ　と思ってたらもう２３時で草,不安,風呂に入らなかった
2025-03-08 11:30:59+00:00,風呂入るか悩む　うんち今出たとこだし　汗も適度にかいてる　でも仕事が終わってない,不安,なし
2025-03-08 06:22:16+00:00,寝つき悪いのに寝たら15時起きで泣き,"不安, 悲しみ","不眠, 起床が遅い"
2025-03-07 16:50:40+00:00,ねれない,不眠,なし
2025-03-07 15:59:02+00:00,金欲しい〜〜〜,欲求,なし
2025-03-07 15:58:37+00:00,歯矯正してる人はもちろん金持ちすぎる,嫉妬,なし
2025-03-07 15:58:21+00:00,髪染めたりピアスしたりネイルしたりしてる人普通に金持ちすぎる,羨ましさ,なし
2025-03-07 15:45:11+00:00,ベロ痛くて寝れん,不快,なし
2025-03-07 15:31:08+00:00,改めて見ると俺歯ガッタガタやな……,不安,なし
2025-03-07 15:29:01+00:00,なんか歯の数左右で違くね？と思ったけどガタガタの一番前の歯が左は前の歯でーすみたいな感じになってんのか,不安,なし
2025-03-07 15:26:31+00:00,歯並びっていうか歯の形がなんかとんがってないか？左は丸いのに　だからか？　なんやねんこの歯,不快,なし
