date,text,感情,エピソード
2025-03-24 10:02:07+00:00,この前ポテト生焼けだったのでちゃんとフライパンで焼いた https://t.co/zmwOJfUQJ5,,
2025-03-24 07:53:01+00:00,ルイボスティーカフェイン無いのにお腹気持ち悪くなるな　なんでだ　鼻水のせいか,,
2025-03-24 07:18:02+00:00,ぬん https://t.co/OCdEpaLPS9,,
2025-03-24 06:06:10+00:00,2個あるはずのデカいタッパー無いなどこ行ったと思ってたら、前にバスケットに入るか確認してそのままだった　しかもアップルパイ入ったまんまだった　カビ生えてる　勿体なすぎる,,
2025-03-23 14:01:58+00:00,風呂入った　えらい,,
2025-03-23 07:30:28+00:00,ジャボとブローチと袖のフリフリがない手袋買った https://t.co/Tb35qWItLV,,
2025-03-23 06:54:43+00:00,学校給食の牛乳そのものがスーパーに売ってた　懐かしすぎる　まさにこれ飲んでた　こんなちっちゃかったっけ https://t.co/fDFnU2gkMG,,
2025-03-23 04:50:26+00:00,あれ　なんかデカいタッパー1個無くなった,,
2025-03-22 16:08:24+00:00,薬飲んでゴミ出せたー,,
2025-03-22 14:37:36+00:00,嘘です　嘘でございます　2月の方が起きれてました　しかも3月はApple Watchつけ忘れまくってるのでございます https://t.co/UMYQ71AL7f,,
2025-03-22 14:35:49+00:00,3月になってから青くなってきた　気分は悪いけど朝は起きれてる傾向にある https://t.co/2iz8RNAEw5,,
2025-03-22 14:31:40+00:00,Twitterと連携してツイートから躁鬱のグラフ／カレンダーを表示するアプリほしい,,
2025-03-22 14:30:38+00:00,今見たら治ってた,,
2025-03-22 14:28:54+00:00,肉まん食って落ち着け　肉まん食ったらゴミ出ししよう　薬は今飲んだ,,
2025-03-22 14:26:35+00:00,ゴミ出しもできてない　もう普通のゴミ箱どころかトイレのゴミ箱まで溢れて大変なことになってますよ,,
2025-03-22 14:25:59+00:00,鬱がやってきたぞ,,
2025-03-22 14:25:51+00:00,今日、絵の仕事するはずがメルカリの作業でいっぱいでできなかったし（スケジュールヤバい）、風呂入ろうとしたら入れなくて何もできずに３時間経ってたし、薬も飲んでない　死ぬしかない,,
2025-03-22 14:19:28+00:00,マジで風呂に入れない　クソ,,
2025-03-22 14:19:20+00:00,ポチった,,
2025-03-22 14:13:02+00:00,登別カルルスの入浴剤買うか,,
2025-03-22 14:12:52+00:00,今から風呂入るって意識するだけでなんもできんくなってしまう,,
2025-03-22 13:59:56+00:00,風呂入ろうとしたら薬も飲まずただベッドでスマホ見てるだけで23時になってしまった　ゴミ出しもしたいんだが　もう風呂入るの諦めるか,,
2025-03-22 13:02:07+00:00,もう1週間突破している https://t.co/SrGbRKEFjn,,
2025-03-22 13:01:44+00:00,今から風呂入るか　寝るか,,
2025-03-22 11:06:25+00:00,うまかったので2食分だけど60%は食った,,
2025-03-22 10:59:32+00:00,コチュジャンはちゃんと入れたんだが,,
2025-03-22 10:59:13+00:00,うまいけど店で食べるビビンバにはなんか1歩届いてない　なんだろ　味がちょっと違う,,
2025-03-22 10:24:15+00:00,豚キムチにナムル入れてビビンバにしてみた https://t.co/WcHKAMXH50,,
2025-03-22 07:18:12+00:00,早速売れた,,
2025-03-22 07:14:35+00:00,メルカリ出品しただけで疲れた,,
2025-03-22 05:20:48+00:00,ネスカフェ解約失敗したのでまた豆届いた　要らね～～～～,,
2025-03-21 12:14:52+00:00,マイナンバーカードコピーできて、同人誌も刷れるレーザー方式ってなるとバカ高い業務用のやつになるよなあ,,
2025-03-21 11:53:49+00:00,やっぱコピー機かおかな～　書類コピーしないといけないこと多い,,
2025-03-21 11:51:24+00:00,去年はインターネット申告できたのにね　ちゃんと履歴も残ってるのでできたはずなんだよ,,
2025-03-21 11:47:32+00:00,まあいいか送ったれ,,
2025-03-21 11:47:22+00:00,どうすんねんこれ,,
2025-03-21 11:47:17+00:00,あぁ！？！？封筒での申告17日までになってんだけど,,
2025-03-21 11:25:36+00:00,"届いた封筒見たら収入ない人""は""インターネット申告できますって書いてるわ　おい",,
2025-03-21 11:20:41+00:00,e-KOBEに市民税の申告（収入ある方）がないんだが,,
2025-03-21 11:18:18+00:00,やっと源泉徴収票届いたので市民税申告できるよ,,
2025-03-18 12:26:20+00:00,首の傷早く治したいのにかさぶためくりまくってしまう,,
2025-03-18 00:50:00+00:00,まだ退職手続色々残ってる状態なので会社に電話する時「お疲れ様です」って言うべきなのか「こんにちは」って言うべきなのかわからん,,
2025-03-18 00:13:00+00:00,グラタン食いてえ,,
2025-03-17 22:15:53+00:00,おきた,,
2025-03-17 06:50:31+00:00,ちょっと寝てた,,
2025-03-17 06:32:48+00:00,なんかめっちゃみぞれ的なのが降っている,,
2025-03-16 23:40:10+00:00,ピザ食べたいので昼飯と晩飯用にピザ注文するか,,
2025-03-16 23:27:25+00:00,"前にセットした時のまま置いてるウィッグ
これ一回洗ってもっと綺麗にやり直そかな
結局この髪型じゃないとダサくなってしまう https://t.co/mg3OwLeRn2",,
2025-03-16 23:01:11+00:00,お団子試したけど髪の毛が短すぎるのかなんかわからんが三つ編みが短すぎてﾍﾟｪﾝ（戻）になる　そしてこめかみが空いてる髪型したら顔がデカすぎてダメなんだった,,
2025-03-16 15:50:28+00:00,めっちゃ眠いのに寝れん,,
2025-03-15 10:57:49+00:00,全然絵描く気分じゃないのに描いても下手くそな絵しかできんから今日はもう諦めてウィッグ調整します,,
2025-03-15 10:06:07+00:00,やっぱウィッグ関連の作業すると台パン止まらんな　物理的に上手くいかないことあると瞬間的な大きい怒りが発生する,,
2025-03-15 08:05:03+00:00,加工で縮めるしかない,,
2025-03-15 08:04:56+00:00,目と鼻のメイクはわかったけどジャガイモ輪郭をどうにかする方法がわからない,,
2025-03-15 07:52:45+00:00,やっぱ輪郭前と全然違うよなあ　なんでこんなジャガイモみたいな輪郭になってしまったんや　肉はついてないのに,,
2025-03-15 07:52:13+00:00,黒髪ウィッグをこういう髪型にしようと思うんだが、ブスすぎるが大丈夫か？　メイクでなんとかなるんかこれ？ https://t.co/EbXNhyWkTS,,
2025-03-14 15:01:07+00:00,オランザピン増えてデエビゴっていうのが増えたよ,,
2025-03-13 17:41:53+00:00,寝るの諦めましたわ〜,,
2025-03-13 16:13:42+00:00,めっちゃキムチ鍋ラーメン食いたいけど麺がない,,
2025-03-13 08:15:09+00:00,髪伸びてきてメカクレになってるし昨日風呂入ったので髪切りに行くだ,,
2025-03-12 13:19:54+00:00,最近節約のために外食は週1回までにしてるんだけど、週1のご褒美外食をマックなんかにしたくないという気持ちになってマックもうしばらく食べてない,,
2025-03-12 13:02:28+00:00,顔パックの汁まだまだあるのに捨てるの勿体無いな　せや絞って顔に塗ったろ　っていやったら顔べっちょべっちょになった　要らんことした,,
